opportunity_id,opportunity_name,account_name,rep_name,industry,segment,stage,deal_size,days_in_stage,close_date,created_date,win_loss
35,Deal Beta,Youopia,Martie Sacchetti,Retail,Enterprise,Closed Won,465193,49,2/25/2024,1/7/2024,Won
36,Deal Delta,Centimia,Grantley Rasmus,Retail,Enterprise,Qualification,101325,87,4/10/2025,10/13/2023,Open
37,Deal Delta,Quimba,Clara Barde,Healthcare,Enterprise,Prospecting,306209,89,6/12/2025,7/10/2023,Open
38,Deal Alpha,Quaxo,Meredithe Boldock,Healthcare,Mid-Market,Proposal,215391,57,12/20/2025,12/20/2023,Open
39,Deal Delta,Meembee,Branden Bussey,Professional Services,Enterprise,Proposal,158959,20,4/11/2024,11/20/2023,Open
40,Deal Beta,Zoomdog,Gaby Galfour,Retail,Enterprise,Demo,94270,44,8/4/2025,3/3/2024,Open
41,Deal Alpha,Leexo,Diahann Phettiplace,Healthcare,Enterprise,Proposal,240221,89,1/20/2024,11/17/2023,Open
42,Deal Beta,Zava,Starr Winsbury,Retail,Enterprise,Prospecting,242085,21,10/20/2025,11/3/2023,Open
43,Deal Alpha,Minyx,Editha Applebee,Financial Services,SMB,Prospecting,403931,1,1/21/2025,8/24/2024,Open
44,Deal Delta,Rhycero,Paco Cuerdall,Healthcare,Mid-Market,Demo,403656,56,1/13/2025,7/2/2024,Open
45,Deal Gamma,Jatri,Barbra Seeks,Professional Services,SMB,Negotiation,317608,38,1/8/2025,11/12/2024,Open
46,Deal Gamma,Bluezoom,Rennie Fewlass,Professional Services,Mid-Market,Proposal,470565,20,2/16/2024,7/10/2024,Open
47,Deal Gamma,Latz,Alejandra Hollebon,Healthcare,Enterprise,Qualification,12634,71,8/7/2025,6/30/2024,Open
48,Deal Beta,Vimbo,Suzie Hauxby,Technology,Mid-Market,Closed Won,231638,9,2/2/2024,8/24/2024,Won
49,Deal Gamma,Quire,Berta Childerley,Professional Services,SMB,Closed Won,376895,76,1/16/2025,12/12/2023,Won
50,Deal Beta,Rooxo,Wilbur Ely,Healthcare,Enterprise,Proposal,214327,58,4/1/2025,8/11/2024,Open
51,Deal Beta,Edgeclub,Elicia Moyse,Professional Services,SMB,Negotiation,473004,87,4/23/2025,8/9/2023,Open
52,Deal Delta,Livetube,Leeanne Paddingdon,Healthcare,SMB,Qualification,147398,74,9/7/2024,6/22/2023,Open
53,Deal Beta,Oyoba,Anne-marie Lismer,Retail,SMB,Qualification,393469,18,7/8/2025,7/24/2024,Open
54,Deal Beta,Zoomdog,Tim Pickerin,Technology,Enterprise,Qualification,152098,23,6/8/2024,3/29/2024,Open
55,Deal Beta,Realcube,Norman Dedney,Technology,SMB,Prospecting,162296,36,6/23/2024,10/23/2024,Open
56,Deal Beta,Zoonder,Peggy Halbert,Healthcare,SMB,Demo,131066,61,9/15/2025,3/5/2024,Open
57,Deal Delta,Zazio,Padgett Westbrook,Professional Services,Mid-Market,Proposal,72105,7,7/10/2025,1/10/2024,Open
58,Deal Alpha,Blognation,Gabriello Hort,Financial Services,Enterprise,Demo,465407,53,9/17/2025,10/5/2024,Open
59,Deal Beta,Linkbridge,Clevie Abatelli,Healthcare,Mid-Market,Closed Won,482259,80,11/19/2025,11/28/2024,Won
60,Deal Gamma,Buzzdog,Sena Tukesby,Professional Services,Mid-Market,Prospecting,122242,51,11/22/2025,2/3/2024,Open
61,Deal Beta,Blogtag,Phyllis Uglow,Professional Services,Enterprise,Qualification,110297,3,3/14/2024,3/17/2024,Open
62,Deal Delta,Edgepulse,Kristal Morrilly,Retail,Mid-Market,Prospecting,364956,36,5/25/2025,8/30/2024,Open
63,Deal Delta,Jaxspan,Joice Diack,Manufacturing,Mid-Market,Demo,198135,41,10/22/2025,7/14/2024,Open
64,Deal Gamma,Jabbercube,Germain Ogborne,Technology,Enterprise,Negotiation,247192,37,8/18/2024,7/31/2023,Open
65,Deal Alpha,Wikizz,Ardath Werndley,Technology,Enterprise,Prospecting,183271,70,11/15/2024,7/1/2024,Open
66,Deal Delta,Dabfeed,Beniamino Peabody,Manufacturing,SMB,Qualification,175654,88,12/29/2025,5/12/2024,Open
67,Deal Beta,Yacero,Demeter Wickersham,Healthcare,Mid-Market,Demo,41657,37,8/4/2024,11/11/2024,Open
68,Deal Delta,Talane,Brose Alexandrescu,Technology,Mid-Market,Demo,436476,43,8/23/2025,4/1/2024,Open
69,Deal Delta,Pixonyx,Bonny Rainford,Healthcare,Enterprise,Demo,124554,66,4/12/2024,12/23/2023,Open
70,Deal Beta,Skidoo,Virgie Sackler,Manufacturing,Enterprise,Negotiation,58701,20,12/19/2024,12/13/2024,Open
71,Deal Beta,BlogXS,King Fardoe,Technology,Mid-Market,Demo,249287,43,1/12/2025,8/10/2023,Open
72,Deal Alpha,Oyonder,Westleigh Dennitts,Manufacturing,SMB,Demo,62870,87,2/13/2025,9/8/2023,Open
73,Deal Gamma,Yombu,Guillaume Heimann,Manufacturing,Mid-Market,Closed Won,189445,64,2/21/2024,10/15/2024,Won
74,Deal Delta,Realpoint,Kelsey Levermore,Financial Services,Enterprise,Prospecting,147774,61,11/26/2025,11/15/2023,Open
75,Deal Gamma,Skiba,Franz Collopy,Professional Services,Mid-Market,Negotiation,341852,26,6/10/2024,7/8/2023,Open
76,Deal Alpha,Jayo,Lindy Embery,Retail,SMB,Demo,228955,9,8/4/2024,6/7/2023,Open
77,Deal Gamma,Eidel,Johnny Bauser,Retail,Enterprise,Demo,294516,53,10/9/2024,3/15/2024,Open
78,Deal Alpha,Devpulse,Essie Abramsky,Professional Services,Mid-Market,Proposal,143715,41,7/19/2024,6/8/2024,Open
79,Deal Delta,Twitterlist,Colas Pavelka,Financial Services,SMB,Proposal,220434,58,7/14/2024,2/13/2024,Open
80,Deal Gamma,Quinu,Lusa Kerner,Financial Services,Enterprise,Proposal,97466,29,1/27/2024,7/29/2023,Open
81,Deal Alpha,Shufflebeat,Vernice Dallicoat,Manufacturing,Mid-Market,Negotiation,122735,3,9/15/2024,1/10/2024,Open
82,Deal Alpha,DabZ,Joli Hubberstey,Professional Services,Mid-Market,Negotiation,212958,17,7/25/2024,10/13/2023,Open
83,Deal Alpha,Eidel,Kristine Waggett,Financial Services,Enterprise,Closed Won,417105,24,6/27/2025,8/16/2023,Won
84,Deal Gamma,Photobean,Huberto Guillotin,Retail,SMB,Prospecting,472715,47,12/4/2024,8/27/2023,Open
85,Deal Gamma,Voolith,Alejandra Weatherill,Professional Services,SMB,Demo,280445,36,10/4/2024,12/1/2024,Open
86,Deal Alpha,Kanoodle,Nadeen Abdy,Financial Services,Enterprise,Demo,457185,68,3/11/2024,9/25/2024,Open
87,Deal Delta,Ooba,Pollyanna Rouke,Financial Services,SMB,Demo,95272,90,9/8/2024,6/9/2024,Open
88,Deal Beta,Yombu,Alessandra McIlhatton,Financial Services,Mid-Market,Closed Lost,431975,60,5/12/2025,6/24/2023,Lost
89,Deal Delta,Skaboo,Gaylord Curdell,Healthcare,Enterprise,Closed Lost,383354,80,7/15/2025,9/17/2023,Lost
90,Deal Gamma,Tagcat,Jaye Gateley,Retail,Mid-Market,Proposal,210986,6,9/14/2025,1/8/2024,Open
91,Deal Alpha,InnoZ,Nicolina Bankes,Professional Services,Mid-Market,Proposal,465726,17,6/9/2025,8/11/2023,Open
92,Deal Delta,Ainyx,Justin Reinbach,Healthcare,Enterprise,Prospecting,412766,25,1/17/2024,10/15/2024,Open
93,Deal Delta,Ailane,Madelin Knoble,Professional Services,Enterprise,Qualification,382850,42,12/31/2024,4/23/2024,Open
94,Deal Delta,Skinix,Catherine Brumen,Healthcare,Enterprise,Demo,140907,34,5/13/2025,11/27/2023,Open
95,Deal Delta,Flashspan,Julieta Edmundson,Financial Services,SMB,Negotiation,240190,75,12/21/2024,9/26/2023,Open
96,Deal Beta,Voolia,Marietta Snoddin,Healthcare,Enterprise,Proposal,402470,42,3/16/2024,6/7/2023,Open
97,Deal Beta,Twitterlist,Cletus Edge,Technology,Enterprise,Prospecting,125112,73,1/9/2024,4/15/2024,Open
98,Deal Gamma,Voomm,Adina Frammingham,Financial Services,Enterprise,Closed Lost,318412,29,1/31/2025,7/6/2024,Lost
99,Deal Delta,Oozz,Siegfried Teasey,Retail,Mid-Market,Demo,416694,37,6/16/2025,11/2/2023,Open
100,Deal Beta,Jabbertype,Brunhilda MacGoun,Professional Services,Mid-Market,Proposal,289409,34,9/4/2025,7/26/2023,Open
101,Deal Delta,Wordtune,Morry Chree,Retail,SMB,Demo,324595,52,5/27/2025,12/11/2024,Open
102,Deal Gamma,Leenti,Christi Vella,Financial Services,SMB,Qualification,290579,27,8/18/2024,3/12/2024,Open
103,Deal Delta,Quatz,Bink Espinas,Healthcare,Enterprise,Qualification,469729,88,10/23/2025,11/1/2024,Open
104,Deal Delta,Voolith,Ad Artharg,Technology,Enterprise,Negotiation,204795,11,6/26/2025,9/13/2023,Open
105,Deal Gamma,Blogspan,Thomasina Jordanson,Retail,Enterprise,Prospecting,270660,68,1/30/2025,10/22/2024,Open
106,Deal Gamma,Browseblab,Corissa Pepperell,Financial Services,Mid-Market,Closed Won,43677,48,9/18/2024,2/7/2024,Won
107,Deal Beta,Yabox,Gabby Royden,Healthcare,SMB,Prospecting,390837,78,10/12/2024,10/30/2024,Open
108,Deal Gamma,Realmix,Tammy Kermannes,Healthcare,Enterprise,Qualification,173640,73,12/19/2024,11/13/2023,Open
109,Deal Gamma,Skajo,April Mickelwright,Professional Services,Mid-Market,Qualification,112060,71,9/11/2025,6/21/2023,Open
110,Deal Gamma,Thoughtblab,Corabel Aidler,Healthcare,Enterprise,Prospecting,443439,27,2/22/2025,12/19/2024,Open
111,Deal Alpha,Twitterlist,Jillana Wallett,Technology,Enterprise,Proposal,36370,3,12/15/2024,11/18/2024,Open
112,Deal Alpha,Chatterpoint,Dell Flockhart,Manufacturing,SMB,Qualification,399072,61,5/9/2025,10/15/2023,Open
113,Deal Beta,Fanoodle,Even Carless,Retail,Mid-Market,Negotiation,383858,68,10/6/2024,8/17/2023,Open
114,Deal Gamma,Fatz,Krystal Alliberton,Healthcare,Enterprise,Prospecting,327445,81,10/16/2025,5/19/2024,Open
115,Deal Beta,Mycat,Alvera Clancey,Manufacturing,SMB,Negotiation,314561,84,11/25/2024,6/20/2023,Open
116,Deal Delta,Linkbuzz,Herculie Nucci,Healthcare,Mid-Market,Prospecting,357066,90,3/13/2024,5/19/2024,Open
117,Deal Beta,Tagcat,Wiatt Kunkler,Healthcare,Mid-Market,Proposal,88111,63,2/26/2024,9/5/2023,Open
118,Deal Delta,Voonix,Ettie Batchelder,Retail,Enterprise,Negotiation,228575,63,10/7/2025,6/1/2024,Open
119,Deal Gamma,Skiptube,Jacki Worsnap,Professional Services,SMB,Closed Won,413919,4,4/20/2025,10/26/2024,Won
120,Deal Beta,Jaxnation,Bernadina Sullens,Retail,Mid-Market,Qualification,108038,34,3/6/2024,10/5/2024,Open
121,Deal Beta,Avavee,Perry Picker,Financial Services,Mid-Market,Demo,284636,41,7/27/2024,10/10/2023,Open
122,Deal Beta,Ntag,Wyatt Gobel,Manufacturing,Mid-Market,Proposal,87820,24,9/19/2024,8/21/2023,Open
123,Deal Beta,Pixope,Merry Wreight,Financial Services,Mid-Market,Qualification,283028,86,1/8/2024,6/12/2024,Open
124,Deal Alpha,Photofeed,Virgina Barrows,Financial Services,SMB,Proposal,406540,15,8/30/2024,8/27/2023,Open
125,Deal Alpha,Realfire,Rodd Danielkiewicz,Retail,SMB,Prospecting,160852,71,10/24/2025,11/2/2023,Open
126,Deal Gamma,Pixonyx,Rafaello Mompesson,Financial Services,Mid-Market,Negotiation,23733,34,10/13/2024,8/13/2024,Open
127,Deal Gamma,Feedbug,Dacey Wardel,Healthcare,Enterprise,Demo,391026,8,8/13/2025,1/17/2024,Open
128,Deal Delta,Brainbox,Ada Proffitt,Healthcare,Enterprise,Prospecting,182839,78,2/3/2024,11/6/2024,Open
129,Deal Beta,Fivespan,Adrian Scotchmur,Retail,SMB,Closed Won,247869,48,6/5/2024,10/15/2024,Won
130,Deal Delta,Kayveo,Broddy Dowbakin,Financial Services,Enterprise,Negotiation,282965,22,8/2/2024,6/16/2024,Open
131,Deal Beta,Avamm,Rosalinde Rodolico,Professional Services,Mid-Market,Proposal,55196,8,12/11/2024,8/3/2023,Open
132,Deal Alpha,Youspan,Elenore Vearncomb,Financial Services,SMB,Prospecting,169354,53,6/21/2024,4/14/2024,Open
133,Deal Delta,Thoughtmix,Odetta Bunyard,Manufacturing,SMB,Prospecting,77212,14,7/11/2025,10/23/2023,Open
134,Deal Beta,Skynoodle,Electra Godehard.sf,Technology,SMB,Prospecting,429857,24,3/6/2024,11/2/2024,Open
135,Deal Delta,Photobug,Billie MacKellen,Professional Services,SMB,Demo,94608,2,8/13/2025,9/9/2023,Open
136,Deal Delta,Skipfire,Lizette Dangerfield,Retail,Enterprise,Proposal,387442,26,3/30/2025,11/14/2023,Open
137,Deal Delta,Centidel,Lita Dewen,Manufacturing,Mid-Market,Qualification,271402,52,10/11/2024,6/4/2024,Open
138,Deal Gamma,Plambee,Nathan Jenicek,Healthcare,Mid-Market,Negotiation,160860,29,2/22/2025,6/5/2024,Open
139,Deal Delta,Linkbuzz,Salmon Ambrogiotti,Professional Services,Mid-Market,Demo,90895,56,10/13/2025,6/28/2023,Open
140,Deal Gamma,InnoZ,Killian Siggs,Professional Services,Enterprise,Demo,197831,33,5/4/2025,7/22/2024,Open
141,Deal Gamma,Innojam,Linea Grgic,Professional Services,Enterprise,Proposal,240666,17,3/31/2024,8/6/2024,Open
142,Deal Beta,Minyx,Bobine Ricketts,Professional Services,Enterprise,Prospecting,415210,68,4/10/2024,6/15/2023,Open
143,Deal Delta,Tagchat,Karie Croci,Professional Services,Enterprise,Demo,101017,3,1/17/2025,10/26/2023,Open
144,Deal Delta,Leexo,Kenneth Fosberry,Healthcare,Mid-Market,Qualification,308959,82,11/3/2024,7/29/2023,Open
145,Deal Beta,Kazio,Helene Darbey,Manufacturing,SMB,Prospecting,44223,51,2/2/2025,6/2/2023,Open
146,Deal Delta,Babbleopia,Jimmie Donat,Financial Services,Mid-Market,Prospecting,233014,44,4/26/2024,12/28/2024,Open
147,Deal Beta,InnoZ,Madalyn Mapledorum,Healthcare,Enterprise,Closed Lost,89100,59,4/8/2024,9/20/2023,Lost
148,Deal Beta,Rooxo,Magdalen Halbert,Financial Services,Mid-Market,Qualification,400018,32,2/15/2024,4/24/2024,Open
149,Deal Delta,Photojam,Myrta MacFall,Technology,SMB,Demo,118824,68,10/10/2025,1/2/2024,Open
150,Deal Beta,Ozu,Sissie Abramino,Retail,Enterprise,Prospecting,409223,69,5/13/2024,10/29/2023,Open
151,Deal Alpha,Meevee,Kristy Peppard,Professional Services,SMB,Qualification,91280,5,9/11/2024,9/5/2024,Open
152,Deal Beta,Twimbo,Kimbell South,Technology,SMB,Negotiation,417348,79,4/8/2024,12/15/2024,Open
153,Deal Alpha,Meedoo,Bonita Illes,Technology,SMB,Negotiation,300344,41,3/14/2025,2/10/2024,Open
154,Deal Gamma,Meedoo,Gloria Schonfelder,Professional Services,Enterprise,Qualification,306628,59,4/17/2024,12/4/2023,Open
155,Deal Delta,LiveZ,Brandais De Caroli,Manufacturing,Enterprise,Demo,360561,71,3/16/2025,1/12/2024,Open
156,Deal Alpha,Fanoodle,Karilynn Colnett,Healthcare,Enterprise,Qualification,246625,88,4/1/2024,5/22/2024,Open
157,Deal Gamma,Yakijo,Borg Guarnier,Healthcare,Mid-Market,Qualification,487837,6,9/4/2024,10/23/2024,Open
158,Deal Alpha,Riffpedia,Goldie Hartlebury,Financial Services,Mid-Market,Proposal,370519,5,10/10/2024,5/5/2024,Open
159,Deal Beta,Meejo,Tynan Boughey,Healthcare,Mid-Market,Negotiation,62760,72,5/10/2025,7/27/2024,Open
160,Deal Gamma,Eabox,Kaye Thibodeaux,Financial Services,SMB,Demo,95737,65,8/9/2025,9/18/2024,Open
161,Deal Alpha,Skipfire,Eveleen Huxtable,Professional Services,SMB,Closed Lost,63477,28,5/31/2024,12/28/2023,Lost
162,Deal Delta,Voonix,Elayne Coling,Healthcare,Mid-Market,Proposal,450145,83,1/3/2024,11/21/2023,Open
163,Deal Gamma,Livetube,Eudora Jorger,Professional Services,SMB,Qualification,493540,23,10/10/2024,4/4/2024,Open
164,Deal Beta,Dazzlesphere,Lorelei Dagworthy,Financial Services,Enterprise,Prospecting,357658,1,7/12/2025,10/5/2023,Open
165,Deal Delta,Linktype,Jasun Mathonnet,Financial Services,Enterprise,Demo,176488,30,11/5/2025,10/28/2024,Open
166,Deal Alpha,Topicblab,Baily Loyley,Healthcare,SMB,Prospecting,311756,34,7/16/2024,2/23/2024,Open
167,Deal Delta,Realpoint,Linn Giorgione,Healthcare,Enterprise,Closed Lost,296401,5,12/20/2025,11/19/2024,Lost
168,Deal Alpha,Kimia,Ernie Scothern,Professional Services,Mid-Market,Closed Won,31126,56,3/29/2025,7/24/2023,Won
169,Deal Delta,Kanoodle,Gerti Sheffield,Professional Services,Mid-Market,Prospecting,261649,6,10/24/2025,7/28/2024,Open
170,Deal Delta,Blogtags,Jo Spieck,Manufacturing,Enterprise,Prospecting,403371,39,7/14/2025,10/23/2024,Open
171,Deal Beta,Jabberbean,Bunny Brougham,Healthcare,SMB,Prospecting,54880,58,11/2/2024,4/5/2024,Open
172,Deal Gamma,Twitternation,Vivyanne Robichon,Manufacturing,Mid-Market,Qualification,470620,37,9/23/2025,4/24/2024,Open
173,Deal Alpha,Browsedrive,Jamie Keelinge,Manufacturing,SMB,Negotiation,478016,36,1/11/2025,12/26/2023,Open
174,Deal Alpha,Flipbug,Marion Shapira,Financial Services,SMB,Qualification,490011,27,5/31/2024,6/4/2024,Open
175,Deal Beta,Bluezoom,Melony Dubique,Financial Services,SMB,Prospecting,16462,65,3/14/2024,11/10/2023,Open
176,Deal Delta,Blogspan,Melanie Flannigan,Professional Services,SMB,Proposal,376241,7,2/28/2025,6/20/2024,Open
177,Deal Delta,Edgeify,Phineas McMechan,Healthcare,SMB,Qualification,460749,41,11/16/2024,10/16/2023,Open
178,Deal Beta,Yodo,Adelind Agar,Professional Services,Enterprise,Qualification,179168,6,10/21/2024,9/25/2024,Open
179,Deal Delta,Photospace,Corby Fumagall,Retail,Enterprise,Demo,360859,62,8/15/2025,6/16/2024,Open
180,Deal Delta,Dynava,Lillis Brass,Healthcare,SMB,Negotiation,339432,43,6/24/2025,4/5/2024,Open
181,Deal Gamma,Jetwire,Standford St. Louis,Healthcare,Enterprise,Proposal,260312,60,6/10/2025,12/29/2023,Open
182,Deal Gamma,Tavu,Annaliese Dine-Hart,Technology,Enterprise,Prospecting,275567,60,10/12/2024,9/9/2024,Open
183,Deal Gamma,Katz,Pauli Ewbanck,Retail,Enterprise,Qualification,446389,77,7/3/2024,12/16/2023,Open
184,Deal Alpha,Mynte,Stewart Lympany,Manufacturing,SMB,Qualification,490998,55,6/4/2024,11/4/2024,Open
185,Deal Delta,Twiyo,Correy Totaro,Healthcare,Enterprise,Prospecting,288547,42,4/6/2025,7/17/2023,Open
186,Deal Alpha,Livetube,Dennie De Ambrosis,Retail,SMB,Prospecting,341904,39,9/19/2024,10/26/2024,Open
187,Deal Delta,Jabbersphere,Alfons Shurrock,Healthcare,Enterprise,Prospecting,435444,55,10/12/2024,12/20/2023,Open
188,Deal Gamma,Thoughtworks,Ozzy Winsom,Healthcare,Mid-Market,Closed Won,175253,46,8/7/2025,8/28/2024,Won
189,Deal Alpha,Flipbug,Shayne Himsworth,Manufacturing,SMB,Prospecting,214599,70,5/7/2025,9/27/2023,Open
190,Deal Gamma,Twitterbridge,Ailee Curman,Healthcare,SMB,Qualification,164313,80,5/13/2024,11/8/2024,Open
191,Deal Delta,Yodoo,Annabelle Bernardoux,Technology,Enterprise,Prospecting,379725,45,11/22/2025,8/18/2023,Open
192,Deal Beta,Yambee,Del Lissett,Manufacturing,Mid-Market,Demo,360324,61,10/5/2025,9/6/2024,Open
193,Deal Gamma,Gabspot,Sheila-kathryn Vale,Technology,Enterprise,Prospecting,444796,4,1/4/2024,11/29/2023,Open
194,Deal Gamma,Yambee,Lenora Ahearne,Financial Services,Mid-Market,Demo,376948,30,12/28/2024,8/29/2024,Open
195,Deal Beta,Buzzbean,Bondy Whitear,Financial Services,Mid-Market,Proposal,279671,20,8/4/2025,9/7/2023,Open
196,Deal Gamma,Rhyzio,Julia Burbury,Retail,Enterprise,Demo,146834,59,11/16/2024,12/26/2024,Open
197,Deal Gamma,Yabox,Beitris Geary,Technology,Mid-Market,Qualification,304311,68,5/15/2024,2/25/2024,Open
198,Deal Delta,Thoughtworks,Libbie Cameron,Financial Services,Mid-Market,Prospecting,160037,25,8/22/2024,3/20/2024,Open
199,Deal Gamma,Oyoba,Alecia Tungate,Technology,Enterprise,Prospecting,412467,43,7/1/2025,10/18/2023,Open
200,Deal Gamma,Bubblemix,Collen Thake,Retail,Enterprise,Qualification,234839,25,7/13/2024,6/11/2024,Open
201,Deal Beta,Meemm,Dorolisa Yakubov,Healthcare,Mid-Market,Demo,75810,64,11/29/2024,6/21/2024,Open
202,Deal Alpha,Dazzlesphere,Andy Lafoy,Retail,SMB,Qualification,343789,13,7/19/2025,2/20/2024,Open
203,Deal Delta,Brightdog,Susana Opy,Financial Services,Enterprise,Prospecting,245379,89,2/6/2024,6/18/2023,Open
204,Deal Delta,Kwideo,Almira Manske,Financial Services,Mid-Market,Prospecting,383113,49,3/29/2024,1/18/2024,Open
205,Deal Gamma,Kazio,Ximenez Irwin,Manufacturing,SMB,Prospecting,318404,25,5/15/2024,5/8/2024,Open
206,Deal Alpha,Yacero,Teddie Sander,Professional Services,SMB,Qualification,384840,39,5/17/2024,12/3/2024,Open
207,Deal Gamma,Topicshots,Mozes Tezure,Manufacturing,SMB,Closed Won,338413,27,9/18/2025,3/23/2024,Won
208,Deal Gamma,Dablist,Madeleine Clabburn,Retail,SMB,Prospecting,18957,16,3/7/2024,7/22/2024,Open
209,Deal Alpha,Skippad,Dixie Blackborow,Professional Services,SMB,Demo,101588,41,11/20/2024,9/23/2024,Open
210,Deal Delta,Pixoboo,Rollins Canadine,Technology,Enterprise,Proposal,268594,89,9/23/2025,6/18/2024,Open
211,Deal Beta,Skajo,Rogerio Le Fevre,Manufacturing,Enterprise,Demo,215967,37,3/13/2024,9/9/2024,Open
212,Deal Gamma,Voonix,Lowrance Litton,Manufacturing,Enterprise,Proposal,274022,12,5/28/2024,2/19/2024,Open
213,Deal Beta,Nlounge,Creigh Strongitharm,Financial Services,SMB,Proposal,26108,13,4/6/2025,10/20/2023,Open
214,Deal Beta,Minyx,Ingaberg Beers,Manufacturing,SMB,Proposal,253270,57,5/10/2024,8/12/2024,Open
215,Deal Beta,Roombo,Merralee Brislawn,Healthcare,Mid-Market,Prospecting,307149,52,2/18/2025,6/9/2024,Open
216,Deal Gamma,Jaloo,Erina Stanford,Retail,Enterprise,Proposal,98212,5,2/12/2024,7/16/2023,Open
217,Deal Alpha,Realbridge,Zebedee Stovin,Healthcare,Enterprise,Prospecting,116299,20,7/31/2025,10/24/2023,Open
218,Deal Alpha,Yodo,Mickie Cuschieri,Technology,SMB,Prospecting,220272,66,4/25/2024,4/2/2024,Open
219,Deal Beta,Vinte,Welsh Allmen,Financial Services,SMB,Proposal,250267,56,7/30/2025,2/24/2024,Open
